cid,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_atoms,Number_of_halogen_atoms,Number_of_B_atoms,Number_of_Br_atoms,Number_of_Cl_atoms,Number_of_I_atoms,Number_of_F_atoms,Number_of_N_atoms,Number_of_O_atoms,Number_of_P_atoms,Number_of_S_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2
1046,123.114997982979,1.0732,9,4,1,0,0,0,0,0.111111111111111,9,1,0,35.2233,14,0,0,0,0,0,0,3,1,0,0,14,0,0,0,0,68.87,7.03105623782363,1.00780819603227,5.97658172011778,7.11111111111111,3.2396694214876,63,63
124704,165.155997633934,1.5166,13,6,2,0,0,0,2,0.166666666666667,12,1,0,48.3481,19,0,0,0,0,0,0,5,1,0,0,19,0,0,0,0,107.25,9.16966329239366,1.00379472964388,8.13499844300519,10.0833333333333,4.88888888888889,85,84
171646,265.053997039795,-1.7651,11,3,1,0,1,0,0,0.1,10,1,0,58.2103,19,1,0,0,0,1,0,3,1,0,0,18,0,0,0,0,59.86,7.02937275977151,0.16143286012093,42.5436301785508,11,4.79289940828402,84,81
171647,138.149997711182,1.2309,11,3,1,0,0,0,0,0.1,10,1,0,44.1903,18,0,0,0,0,0,0,3,1,0,0,18,0,0,0,0,59.86,7.0671467415604,1.00680764439599,6.01936142509143,8.1,3.40828402366864,84,81
181450,157.559997081757,1.6036,8,4,1,0,0,0,0,0.1,10,1,0,39.1763,14,1,0,0,1,0,0,3,1,0,0,14,0,0,0,0,68.87,7.64639807698027,1.00795841653698,6.58602532756341,8.1,3.40828402366864,64,66
258796,138.129997968674,1.1829,11,5,2,1,0,0,0,0.2,10,1,0,38.9877,16,0,0,0,0,0,0,4,1,0,0,16,0,0,0,0,80.9,7.13755591754224,1.01673304290839,6.02008847585509,8.1,4,72,72
280449,139.113997578621,0.7839,9,5,2,2,1,0,0,0.2,10,1,0,36.0471,15,0,0,0,0,0,0,3,2,0,0,15,0,0,0,0,77.94,7.12603703443555,0.975815702879186,6.30264640485891,8.1,4,67,69
284752,139.113997578621,0.3116,8,4,1,1,0,0,0,0.1,10,1,0,38.5223,15,0,0,0,0,0,0,3,2,0,0,15,0,0,0,0,82.92,7.01986591277836,1.01171921632475,5.93855152645936,8.1,3.40828402366864,69,72
301266,157.559997081757,1.6036,8,4,1,0,0,0,0,0.1,10,1,0,39.1763,14,1,0,0,1,0,0,3,1,0,0,14,0,0,0,0,68.87,7.02968309467961,1.01152343448205,5.94959983628968,8.1,3.40828402366864,64,66
470898,137.141997694969,1.7579,11,4,1,0,0,0,0,0.1,10,1,0,42.3033,17,0,0,0,0,0,0,3,1,0,0,17,0,0,0,0,68.87,7.02354735422954,1.01075222849119,5.94883192561841,8.1,3.40828402366864,79,75
470902,166.139997243881,1.1778,12,6,2,0,0,0,0,0.166666666666667,12,1,0,44.1866,18,0,0,0,0,0,0,4,2,0,0,18,0,0,0,0,111.96,8.92450117408119,1.00702609454506,7.86223427816234,10.0833333333333,4.296875,82,84
470904,137.141997694969,1.5976,11,4,1,1,0,0,0,0.2,10,1,0,42.3329,17,0,0,0,0,0,0,3,1,0,0,17,0,0,0,0,54.88,6.89169514497527,1.01373534397173,5.79831791005156,8.1,4,79,75
470905,151.16899740696,2.122,13,4,0,0,0,0,0,0.181818181818182,11,1,0,49.4425,20,0,0,0,0,0,0,3,1,0,0,20,0,0,0,0,46.09,8.18048090721772,1.08375590533344,6.54826881861451,9.09090909090909,4.13265306122449,95,87
470913,165.151996970177,1.1667,12,5,1,1,0,0,0,0.25,12,1,0,47.3399,19,0,0,0,0,0,0,3,2,0,0,19,0,0,0,0,71.95,7.06965260781439,1.01385324318377,5.97305320601808,10.0833333333333,4.88888888888889,89,87
1282529,157.559997081757,1.6036,8,4,1,0,0,0,0,0.1,10,1,0,39.1763,14,1,0,0,1,0,0,3,1,0,0,14,0,0,0,0,68.87,7.05745819234623,1.00749899450606,6.00492827370637,8.1,3.40828402366864,64,66
2760054,137.141997694969,1.7579,11,4,1,0,0,0,0,0.1,10,1,0,42.3033,17,0,0,0,0,0,0,3,1,0,0,17,0,0,0,0,68.87,8.07151487161359,1.00762564099138,7.01043020667101,8.1,3.40828402366864,79,75
2769693,151.16899740696,2.2823,13,4,1,1,0,0,0,0.181818181818182,11,1,0,49.4129,20,0,0,0,0,0,0,3,1,0,0,20,0,0,0,0,54.88,8.14522199168262,1.01634335681645,7.01424236903201,9.09090909090909,4.13265306122449,95,87
3773741,138.105997562408,0.6783,8,5,1,2,1,0,0,0.2,10,1,0,36.6649,14,0,0,0,0,0,0,3,2,0,0,14,0,0,0,0,77.94,7.17878620564426,1.01168271313002,6.09588699349619,8.1,4,64,66
4065153,179.22299683094,3.5356,17,4,0,0,0,0,0,0.307692307692308,13,1,0,63.2845,26,0,0,0,0,0,0,3,1,0,0,26,0,0,0,0,46.09,8.97547108772264,1.07654971647362,7.33725646886334,11.0769230769231,5.671875,127,119
4447745,165.19599711895,3.0112,15,4,1,1,0,0,0,0.333333333333333,12,1,0,56.1749,23,0,0,0,0,0,0,3,1,0,0,23,0,0,0,0,54.88,8.87046035760278,1.01463093856347,7.7425486651942,10.0833333333333,5.61224489795918,111,107
4462842,179.22299683094,3.2981,17,4,1,1,0,0,0,0.230769230769231,13,1,0,63.1339,26,0,0,0,0,0,0,3,1,0,0,26,0,0,0,0,54.88,7.73749141034432,1.01661893301425,6.61100463415807,11.0769230769231,4.48148148148148,127,123
5161858,151.16899740696,2.3044,13,4,1,1,0,0,0,0.272727272727273,11,1,0,49.2539,20,0,0,0,0,0,0,3,1,0,0,20,0,0,0,0,54.88,7.90241719519592,1.01522237165616,6.78392735997779,9.09090909090909,4.79289940828402,95,91
10943924,218.135997056961,1.6236,8,6,0,2,0,0,0,0.25,16,1,0,51.099,18,0,0,0,0,0,0,8,2,0,0,18,0,0,0,0,84.64,11.6438749852215,1.08533649766115,9.72835476399585,14.0625,7.35,82,90
11658404,185.118996739388,0.8341,10,4,1,0,0,0,0,0.083333333333333,12,1,0,45.5847,18,0,0,0,0,0,0,4,4,0,0,17,2,0,0,0,135.07,7.21166175248988,1.00682176959442,6.16279878949673,13,7.40816326530612,75,72
11789368,150.169431527394,2.122,13,4,0,0,0,0,0,0.181818181818182,11,1,0,49.4425,20,0,0,0,0,0,0,3,1,0,0,20,0,0,0,0,46.09,8.02539311497494,1.08370295210955,6.40552851623466,9.09090909090909,4.13265306122449,95,87
12571040,151.16899740696,2.4426,13,4,1,0,0,0,0,0.090909090909091,11,1,0,49.3833,20,0,0,0,0,0,0,3,1,0,0,20,0,0,0,0,68.87,8.04785560416156,1.01079428497794,6.96191245218331,9.09090909090909,3.6,95,87
12571044,153.140997290611,0.9963,10,4,1,1,0,0,0,0.090909090909091,11,1,0,45.6023,18,0,0,0,0,0,0,3,2,0,0,18,0,0,0,0,82.92,8.10858741426398,1.0088199549503,7.03769530378044,9.09090909090909,3.6,85,84
12571051,153.140997290611,0.9963,10,4,1,1,0,0,0,0.090909090909091,11,1,0,45.6023,18,0,0,0,0,0,0,3,2,0,0,18,0,0,0,0,82.92,7.03774951376758,1.01136142534007,5.95868888948491,9.09090909090909,3.6,85,84
12580954,149.152997374535,1.5679,11,4,0,0,0,0,0,0.166666666666667,12,2,0,42.9947,18,0,0,0,0,0,0,3,1,0,0,19,0,0,0,0,45.86,8.12064173113968,1.07868739453262,6.52826237916523,7.63888888888889,3.1640625,95,103
